DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/22/2016,9:50,BROOKLYN,11236,40.6482654,-73.9058004,"(40.6482654, -73.9058004)",FOSTER AVENUE                   ,ROCKAWAY PARKWAY,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3584748,PASSENGER VEHICLE,,,,
12/22/2016,9:45,QUEENS,11367,,,,,,76-02     137 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3584732,PASSENGER VEHICLE,,,,
12/22/2016,9:44,,,,,,DEVOE STREET                    ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3585594,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,9:40,BROOKLYN,11207,40.671341,-73.8995854,"(40.671341, -73.8995854)",pitkin avenue                   ,williams avenue,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,3584813,PASSENGER VEHICLE,,,,
12/22/2016,9:40,,,,,,BREWER BOULEVARD                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3585038,PASSENGER VEHICLE,,,,
12/22/2016,9:35,BRONX,10458,40.856101,-73.8908801,"(40.856101, -73.8908801)",,,4610      3 AVENUE                      ,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,Unspecified,,,3585068,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
12/22/2016,9:30,,,40.8579711,-73.8727118,"(40.8579711, -73.8727118)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3584712,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,9:30,,,,,,WEST 35 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3584890,PASSENGER VEHICLE,PICK-UP TRUCK,,,
12/22/2016,9:30,,,,,,PACIFIC STREET                  ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3585714,PASSENGER VEHICLE,UNKNOWN,,,
12/22/2016,9:30,,,,,,54 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3586030,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,9:30,QUEENS,11373,,,,,,93-35     LAMONT AVENUE                 ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3585214,PASSENGER VEHICLE,PICK-UP TRUCK,,,
12/22/2016,9:30,BROOKLYN,11220,40.6326333,-74.0125342,"(40.6326333, -74.0125342)",65 STREET                       ,8 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3585192,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,9:30,BROOKLYN,11219,40.6329963,-73.9978131,"(40.6329963, -73.9978131)",55 STREET                       ,12 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3584962,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,9:30,BROOKLYN,11201,40.6948157,-73.9832674,"(40.6948157, -73.9832674)",GOLD STREET                     ,JOHNSON STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3585349,PASSENGER VEHICLE,,,,
12/22/2016,9:22,,,,,,CANAL STREET                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3586409,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,9:20,QUEENS,11102,40.7722895,-73.9153947,"(40.7722895, -73.9153947)",24 AVENUE                       ,31 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3585371,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,9:20,BROOKLYN,11226,40.653575,-73.959452,"(40.653575, -73.959452)",LENOX ROAD                      ,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3586243,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,9:10,,,,,,MARCY AVENUE                    ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3585595,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
